# MD Simulation - NVT Ensemble
# Timestep: 0.1 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       284       28.400       421.04      0.04400086   -756.74693749   -756.70293662
       285       28.500       428.09      0.04473732   -756.74723423   -756.70249691
       286       28.600       441.45      0.04613325   -756.74758680   -756.70145355
       287       28.700       454.63      0.04751106   -756.74799212   -756.70048106
       288       28.800       462.53      0.04833625   -756.74844611   -756.70010987
       289       28.900       482.94      0.05046952   -756.74894413   -756.69847461
       290       29.000       507.66      0.05305241   -756.74949048   -756.69643807
       291       29.100       537.04      0.05612336   -756.75008389   -756.69396053
       292       29.200       554.25      0.05792193   -756.75072420   -756.69280227
       293       29.300       575.12      0.06010273   -756.75140141   -756.69129868
       294       29.400       590.86      0.06174756   -756.75211475   -756.69036719
       295       29.500       615.97      0.06437222   -756.75285634   -756.68848413
       296       29.600       642.53      0.06714696   -756.75362527   -756.68647831
       297       29.700       663.47      0.06933599   -756.75441369   -756.68507770
       298       29.800       692.42      0.07236112   -756.75520746   -756.68284635
       299       29.900       711.36      0.07434045   -756.75599777   -756.68165732
       300       30.000       744.51      0.07780440   -756.75676183   -756.67895743
       301       30.100       763.95      0.07983602   -756.75748372   -756.67764770
       302       30.200       794.96      0.08307724   -756.75812883   -756.67505159
       303       30.300       804.59      0.08408371   -756.75866715   -756.67458344
       304       30.400       815.22      0.08519402   -756.75905291   -756.67385889
       305       30.500       824.24      0.08613699   -756.75924627   -756.67310927
       306       30.600       828.07      0.08653768   -756.75920298   -756.67266531
       307       30.700       808.14      0.08445401   -756.75887848   -756.67442447
       308       30.800       786.61      0.08220476   -756.75824154   -756.67603678
       309       30.900       749.62      0.07833921   -756.75727015   -756.67893093
       310       31.000       700.47      0.07320269   -756.75597071   -756.68276802
       311       31.100       647.51      0.06766828   -756.75438292   -756.68671464
       312       31.200       576.55      0.06025207   -756.75257614   -756.69232408
       313       31.300       512.44      0.05355271   -756.75068600   -756.69713329
       314       31.400       448.48      0.04686874   -756.74884701   -756.70197827
       315       31.500       386.12      0.04035112   -756.74722932   -756.70687820
       316       31.600       344.12      0.03596242   -756.74601302   -756.71005060
       317       31.700       323.76      0.03383457   -756.74532210   -756.71148754
       318       31.800       321.96      0.03364587   -756.74523957   -756.71159370
       319       31.900       333.74      0.03487782   -756.74579194   -756.71091412
