# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       357      178.500       291.45      0.03045834   -756.71481491   -756.68435658
       358      179.000       276.98      0.02894564   -756.71544782   -756.68650218
       359      179.500       351.20      0.03670158   -756.71622814   -756.67952656
       360      180.000       389.99      0.04075577   -756.71580425   -756.67504848
       361      180.500       297.52      0.03109197   -756.71476714   -756.68367517
       362      181.000       263.15      0.02750063   -756.71583040   -756.68832976
       363      181.500       373.84      0.03906819   -756.71590620   -756.67683801
       364      182.000       257.98      0.02696041   -756.71617627   -756.68921587
       365      182.500       309.70      0.03236554   -756.71620074   -756.68383520
       366      183.000       244.73      0.02557549   -756.71587403   -756.69029854
       367      183.500       395.96      0.04137937   -756.71628983   -756.67491045
       368      184.000       355.78      0.03718066   -756.71631429   -756.67913363
       369      184.500       485.92      0.05078096   -756.71640625   -756.66562529
       370      185.000       343.90      0.03593965   -756.71624714   -756.68030749
       371      185.500       421.52      0.04405115   -756.71546563   -756.67141448
       372      186.000       294.05      0.03072996   -756.71568064   -756.68495068
       373      186.500       364.35      0.03807589   -756.71703534   -756.67895945
       374      187.000       359.07      0.03752473   -756.71584273   -756.67831800
       375      187.500       395.40      0.04132146   -756.71673608   -756.67541462
       376      188.000       233.16      0.02436677   -756.71634538   -756.69197861
       377      188.500       299.41      0.03128964   -756.71778437   -756.68649472
       378      189.000       342.66      0.03580992   -756.71876256   -756.68295264
       379      189.500       465.51      0.04864755   -756.71832728   -756.66967973
       380      190.000       270.11      0.02822766   -756.71728137   -756.68905371
       381      190.500       306.93      0.03207545   -756.71734856   -756.68527310
       382      191.000       342.75      0.03581882   -756.71766797   -756.68184915
       383      191.500       274.27      0.02866281   -756.71705434   -756.68839153
       384      192.000       322.73      0.03372732   -756.71683291   -756.68310560
       385      192.500       372.11      0.03888675   -756.71638242   -756.67749567
       386      193.000       364.29      0.03806983   -756.71629736   -756.67822753
       387      193.500       308.40      0.03222883   -756.71729883   -756.68507000
       388      194.000       331.01      0.03459237   -756.71755078   -756.68295841
       389      194.500       215.29      0.02249857   -756.71667604   -756.69417747
       390      195.000       340.16      0.03554840   -756.71722488   -756.68167648
       391      195.500       341.51      0.03568957   -756.71679520   -756.68110563
       392      196.000       272.27      0.02845339   -756.71690525   -756.68845186
       393      196.500       267.94      0.02800132   -756.71716982   -756.68916850
       394      197.000       350.46      0.03662499   -756.71836923   -756.68174423
       395      197.500       384.60      0.04019214   -756.71762255   -756.67743041
       396      198.000       272.17      0.02844285   -756.71722607   -756.68878322
       397      198.500       303.82      0.03175102   -756.71777553   -756.68602451
       398      199.000       345.45      0.03610073   -756.71773116   -756.68163044
       399      199.500       291.79      0.03049387   -756.71697166   -756.68647779
       400      200.000       398.55      0.04164990   -756.71694783   -756.67529793
       401      200.500       337.38      0.03525823   -756.71747932   -756.68222108
       402      201.000       298.82      0.03122862   -756.71736629   -756.68613767
       403      201.500       299.77      0.03132692   -756.71738644   -756.68605952
       404      202.000       329.05      0.03438734   -756.71720974   -756.68282239
       405      202.500       302.49      0.03161209   -756.71741269   -756.68580060
       406      203.000       259.00      0.02706698   -756.71753248   -756.69046550
       407      203.500       243.31      0.02542714   -756.71815670   -756.69272956
       408      204.000       259.90      0.02716121   -756.71781314   -756.69065193
       409      204.500       230.80      0.02411972   -756.71777764   -756.69365792
       410      205.000       288.78      0.03017902   -756.71785057   -756.68767155
       411      205.500       232.67      0.02431461   -756.71835290   -756.69403829
       412      206.000       277.53      0.02900279   -756.71850118   -756.68949839
       413      206.500       283.47      0.02962364   -756.71878919   -756.68916555
       414      207.000       329.09      0.03439154   -756.71821152   -756.68381997
       415      207.500       334.65      0.03497204   -756.71812758   -756.68315554
       416      208.000       303.29      0.03169536   -756.71838318   -756.68668782
       417      208.500       351.18      0.03669956   -756.71806534   -756.68136577
       418      209.000       214.76      0.02244339   -756.71776432   -756.69532093
       419      209.500       313.49      0.03276109   -756.71804949   -756.68528841
       420      210.000       305.03      0.03187708   -756.71819108   -756.68631401
       421      210.500       331.16      0.03460807   -756.71769549   -756.68308741
       422      211.000       315.17      0.03293660   -756.71765161   -756.68471501
       423      211.500       344.53      0.03600506   -756.71764414   -756.68163908
       424      212.000       261.72      0.02735074   -756.71785046   -756.69049973
       425      212.500       353.20      0.03691132   -756.71802584   -756.68111452
       426      213.000       388.93      0.04064489   -756.71853584   -756.67789095
       427      213.500       307.14      0.03209805   -756.71750795   -756.68540990
       428      214.000       337.68      0.03528902   -756.71728362   -756.68199460
       429      214.500       332.51      0.03474874   -756.71753651   -756.68278777
       430      215.000       231.51      0.02419371   -756.71692452   -756.69273082
       431      215.500       327.25      0.03419914   -756.71728235   -756.68308321
       432      216.000       335.43      0.03505362   -756.71812435   -756.68307074
       433      216.500       283.58      0.02963531   -756.71792122   -756.68828592
       434      217.000       355.53      0.03715438   -756.71791011   -756.68075573
       435      217.500       249.91      0.02611643   -756.71754440   -756.69142797
       436      218.000       311.20      0.03252177   -756.71763401   -756.68511224
       437      218.500       290.14      0.03032080   -756.71810575   -756.68778495
       438      219.000       356.26      0.03723079   -756.71784720   -756.68061641
       439      219.500       245.89      0.02569642   -756.71735416   -756.69165775
       440      220.000       388.26      0.04057522   -756.71784805   -756.67727283
       441      220.500       234.62      0.02451840   -756.71796146   -756.69344305
       442      221.000       279.73      0.02923291   -756.71751563   -756.68828272
